id,product,step,opinion,thoughts,thread,pos_count,neg_count,neu_count
dlswt9s,innisfree super volcanic clay mask,clay mask,best,"thoughts 
copy paste from the oily skin thread. but for combo skin people this is really great to use on the t-zone! i clay mask on my t-zone and use a hydrating wash off mask like make p:rem on my cheeks. for great double masking action.",combination,2,0,0
dlt71q4,banila co miss flower and mr. honey cream,occlusive,best,"thoughts i've actually only used a sample of this stuff but i'm definitely going to purchase it for the fall/winter. when i first used it it broke me out because i put it on straight, dry skin. to use it properly for combo skin ime it's important to have a watery layer on underneath that's not fully dry that you can kind of mix it into (sheet mask essence, mist, hydrating toner, gel, etc.). it dries down into a mattified layer that works great as a sleeping pack or as a heavy moisturizer during the day, without looking too greasy. ",combination,3,1,0
dlswkk5,elizavecca 24k gold waterdrop & 2hsam cream mask,moisturiser,best,"thoughts this is a super lightweight moisturiser which i use when my skin doesn't need heavy hydration. it's got a ""waterdrop"" effect, by which i mean when i rub the cream on it looks like it's turning into waterdrops. i only use a half a walnut size for my entire face, it's very spreadable. it also smells of lemonade.",combination,1,0,0
dluk1za,mizon snail recovery gel cream,moisturizer,best,"thoughts it's lightweight, but it packs a lot of hydration. it also covers up any dry spots and doesn't make my skin any oilier. it doesn't leave a film and dries instantly. it's also a great mixing medium. i mix this with my pm moisturizers and other serums that i feel are way too oily.  ",combination,1,0,0
dlvkm71," huxley oil essence essence-like, oil-like",essence,best,thoughts,combination,1,1,0
dlzz95c,benton snail bee high content steam cream,cream,best,"thoughts literally, this is my hg cream to seal in all my hydration layers. it's thick enough to occlude everything, but not overtly so thick that my skin feels congested. in fact, this was my first product that gave me that chok-chok feeling. my only (but biggest) pet peeve about it is the preservation system. i know that benton messed up pretty bad in the past but people still love the products because dammit, it works. however, because my skin tends to get more stressed during the summer, i really need this cream to come through. but the heat will destroy it for sure (when it ships over), so i've been trying to find a product that gives me that hydration plump skin feeling. i found it in a sample of skinfood's [aqua grape bounce cream] (http://imgs.inkfrog.com/pix/geoplee/7502_aqua_grape_bounce_cream.jpg) but it's not available for shipping to the states and the price...i saw it going for 30,000 won in korea last month!",combination,1,0,0
dl4g1ts,cosrx master pimple patch,spot treatment,best,thoughts if you have a whitehead which you've lanced the patch will help to seal the wound which helps it heal quicker. i usually use a blemish cream the next night after using this. it's seriously effective at helping to flatten spots  ,acne,5,1,0
dl4smbh,benton snail bee essence,essence,best,"this is amazing for calming active acne, reducing redness and inflammation, and is slightly hydrating. i can't rave enough about it. it's healed so much of my scarring/pih. love love love it!",acne,5,1,0
dl4fpug,ljh tea tree essence,essence,best ,thoughts. this is a lightweight hydrating essence which sinks quickly into my skin. i love this bottle for helping me with redness and calming down erupting acne. i noticed more acne when i stopped using it. it's one of those products you don't realise the value of until you stop using. it's a bit pricey though so i always wait for sales. ,acne,5,0,1
dl4lm63,stratia velvet cleansing milk,second cleanser,best,thoughts,acne,1,0,0
dl4mqbi,cosrx centella blemish cream,cream,best,this product has helped me so much with redness and calming aggravated active acne.  ,acne,1,0,1
dl56j0g,cosrx bha returning a-sol,essence step,best,"thoughts i've only been using it for two weeks and my acne has been starting to clear up. i like that it also has some aha in it, which really helps in keeping my skin glowy. it seems to have also helped in regulating my sebum although not to an exemplary extent since i have an extremely oily skin. 
my skin was clearing up prior to this but when i used klairs' toner, i started having so many random ccs and new acnes started showing up for some reason and my previous routine didn't really work so i gave this product a shot. ",acne,3,0,1
dl56o6v,scinic snail aio ampoule,ampoule,best,"i cannot stop raving about this product. it's such a steal for the price- i got it for $13 on amazon. i actually ordered the honey version, but there was a mix-up and i got this one. i tried it anyways and fell so in love with it i didn't even bother contacting amazon. anyways-",acne,1,0,0
dl4fm93,innisfree super volcanic clay mask,clay mask,best,"thoughts i recommended this for oily skin and would do so for acne prone skin too! it's great after applying some bha to really get clogs out.  i use a clay mask at least once a week, i find it really helps with mattifying my skin. this is one of the best clay masks that i've found. it's affordable, applies easily and does mattify. the negative side is that it's messy to wash off, and i prefer tubes to pots. though they do do a bottle version which i've yet to try.",acne,5,0,0
dl4ft4h,mizon 8% aha,chemical exfoliant,best,"thoughts. this is more gentle than some western ahas which suits me perfectly, but still powerful enough to make a difference. i use this once or twice a week to help with the ccs i can suffer with. particularly around shark week. i find this helps reduce their appearance and keep more at bay. ",acne,3,0,3
dl58nqw,cosrx 96 snail mucin essence,essence,best  ,"this is old news to most folks here but its sooo good for acne,  i love love it. am new to ab and have been using it now for just 2 weeks - but results are downright amazing. im thankful and a little sad i didnt find it 8 months ago when a cystic acne spree started & destroyed my face  :(",acne,1,0,1
dl53cf7,cosrx acne one step pimple clear pads,chemical exfoliant,best!!,"thoughts: i love this product- when i break out, i just wipe my face with the pad before i sleep and the next morning my pimples are either almost completely gone or less red/swollen. it doesn't cause any discomfort or make my skin itchy, so it's a gentle but effective exfoliant. i've heard you can even use it on your armpits(?) too since it's an exfoliant. leaves my face a little bit sticky but it's so worth it! i've already finished my first batch and bought a second!",acne,3,0,0
dl80usl,aztec healing clay mask,mask,best,"if i have a skin freak out, i love to do this mask. i do it right after my step 2 cleanser. i use raw acv to mix. after the mask, it's nice to follow up with a sheet mask... green tea or aloe or something soothing/moisturizing. the next morning, i can notice a total difference - reduces the redness of my breakouts.",acne,1,1,0
dl4o1c9,it's skin power 10 formula vb effector with vitamin b6,serum,best,"thoughts: i highly recommend this for those with oily skin types. i apply this after toning, and i love that it's non-sticky and lightweight. plus, this has  vitamin b6 which is known to treat various skin conditions such as acne & allergies; restores skin’s natural moisture balance, and hydrates. this serum also controls excess oil production that causes pimples. my monthly hormonal breakouts lessen to only one acne per month when i started using this. ",acne,3,0,0
dl9doxx,cosrx good morning low ph gel cleanser,second cleanser,best,"this cleanser changed my skin so so much that if i were to replace it, my face would get dull and rough after a few days. i think the combination of tea tree and betaine salicylate helps reduce my redness and prevents new pimples from forming. i love this cleanser and i don't want to be without it ever.
",acne,1,0,0
dl5zi0c,mizon snail recovery gel cream,spot treatment step,best,i had a few clogs on my forehead that weren't going away despite  retin-a gel & br p50 lotion usage so i spot treated them with stridex pads in the red box for a while however they became inflamed & showed no sign of going away. spot treatments like aczone & bp yielded no improvement. i was about to give up and resign to having red dots all over my forehead when i decided to try mizon snail gel cream as a spot treatment (i normally use it on cuts & bug bites). two of the clogs went away and the other three were easily extracted. this worked wonders to take down the inflammation. ,acne,2,0,0
dl4fyfm,"mizon acence blemish x cream (i think, not at home so can't check the tube!)",spot cream,best,thoughts. this is great at helping my blemishes go down and lessens the appearance of redness. very affordable as well so i don't mind using this on every spot and giving myself a polka dot appearance. ,acne,2,0,0
dlguq74,mandelic acid- dr. wu's 18% aha skin renewal serum,actives,best,"or really any mandelic acid product, but dr. was contains the highest percentages i've found in a serum and is ab (sans alcohol). its so gentle on my skin, doesn't have the burning sensations of a lot of other acids, just a very slightly tingle for me and it leaves my skin super soft in the morning.",acne,1,0,0
